0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 57
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 56
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 13 %, 53
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 56
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 9 %, 52
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 55
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 2685 MiB, 24564 MiB, 100 %, 55
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 9 %, 53
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 11 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 99 %, 77
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 13 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 9 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1034 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1033 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1032 MiB, 12288 MiB, 11 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 6587 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 2211 MiB, 24564 MiB, 67 %, 67
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 6639 MiB, 24564 MiB, 60 %, 62
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 97 %, 73
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 10 %, 53
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1032 MiB, 12288 MiB, 16 %, 54
1, NVIDIA GeForce RTX 4090, 10817 MiB, 24564 MiB, 76 %, 66
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 11 %, 53
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 76
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 14 %, 54
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 88 %, 71
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 53
