0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 70 %, 51
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 40 %, 51
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 9 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1013 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 99 %, 72
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1012 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 9 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 9 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1033 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 7451 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 2975 MiB, 24564 MiB, 91 %, 61
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 76 %, 65
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 70
0, NVIDIA GeForce RTX 3060, 1013 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1013 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 88 %, 66
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 72
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 98 %, 75
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 11 %, 51
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 96 %, 71
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 72
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 67 %, 60
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 50
