0, NVIDIA GeForce RTX 3060, 1730 MiB, 12288 MiB, 0 %, 50
1, NVIDIA GeForce RTX 4090, 4803 MiB, 24564 MiB, 0 %, 52
0, NVIDIA GeForce RTX 3060, 1730 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 8883 MiB, 24564 MiB, 100 %, 52
0, NVIDIA GeForce RTX 3060, 1729 MiB, 12288 MiB, 18 %, 51
1, NVIDIA GeForce RTX 4090, 8963 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1728 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1729 MiB, 12288 MiB, 11 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1725 MiB, 12288 MiB, 19 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1725 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1729 MiB, 12288 MiB, 14 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 10315 MiB, 24564 MiB, 79 %, 72
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 10595 MiB, 24564 MiB, 98 %, 69
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 8825 MiB, 24564 MiB, 99 %, 70
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 18 %, 51
1, NVIDIA GeForce RTX 4090, 11805 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 12145 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 11 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 22 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 20 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 14 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 9 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 20 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 19 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 78
