0, NVIDIA GeForce RTX 3060, 1730 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 4803 MiB, 24564 MiB, 5 %, 55
0, NVIDIA GeForce RTX 3060, 1737 MiB, 12288 MiB, 14 %, 51
1, NVIDIA GeForce RTX 4090, 8363 MiB, 24564 MiB, 41 %, 54
0, NVIDIA GeForce RTX 3060, 1732 MiB, 12288 MiB, 20 %, 51
1, NVIDIA GeForce RTX 4090, 8963 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1726 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 20 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1728 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1732 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 8965 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1732 MiB, 12288 MiB, 11 %, 51
1, NVIDIA GeForce RTX 4090, 9615 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1732 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 10595 MiB, 24564 MiB, 97 %, 72
0, NVIDIA GeForce RTX 3060, 1728 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 6345 MiB, 24564 MiB, 99 %, 73
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 14 %, 51
1, NVIDIA GeForce RTX 4090, 11805 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 29 %, 51
1, NVIDIA GeForce RTX 4090, 12145 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 99 %, 75
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 17 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 19 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 20 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 20 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 12325 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1702 MiB, 12288 MiB, 17 %, 51
1, NVIDIA GeForce RTX 4090, 12384 MiB, 24564 MiB, 93 %, 79
0, NVIDIA GeForce RTX 3060, 1770 MiB, 12288 MiB, 4 %, 53
1, NVIDIA GeForce RTX 4090, 12358 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1756 MiB, 12288 MiB, 2 %, 54
1, NVIDIA GeForce RTX 4090, 12358 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1679 MiB, 12288 MiB, 2 %, 54
1, NVIDIA GeForce RTX 4090, 12358 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1679 MiB, 12288 MiB, 5 %, 53
1, NVIDIA GeForce RTX 4090, 12358 MiB, 24564 MiB, 2 %, 63
0, NVIDIA GeForce RTX 3060, 1678 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 4836 MiB, 24564 MiB, 0 %, 61
0, NVIDIA GeForce RTX 3060, 1665 MiB, 12288 MiB, 16 %, 52
1, NVIDIA GeForce RTX 4090, 4836 MiB, 24564 MiB, 3 %, 58
0, NVIDIA GeForce RTX 3060, 1660 MiB, 12288 MiB, 16 %, 52
1, NVIDIA GeForce RTX 4090, 4836 MiB, 24564 MiB, 0 %, 57
0, NVIDIA GeForce RTX 3060, 1670 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 4836 MiB, 24564 MiB, 0 %, 57
