0, NVIDIA GeForce RTX 3060, 1039 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 3 %, 59
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 2 %, 58
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 58
0, NVIDIA GeForce RTX 3060, 1046 MiB, 12288 MiB, 10 %, 58
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 57
0, NVIDIA GeForce RTX 3060, 1046 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1033 MiB, 12288 MiB, 11 %, 58
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1033 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1034 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1039 MiB, 12288 MiB, 9 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1041 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1037 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1041 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1039 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1039 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 9 %, 58
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1038 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1034 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1035 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1036 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1044 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6145 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1043 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 1831 MiB, 24564 MiB, 80 %, 68
0, NVIDIA GeForce RTX 3060, 1048 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 4495 MiB, 24564 MiB, 92 %, 63
0, NVIDIA GeForce RTX 3060, 1043 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 72
0, NVIDIA GeForce RTX 3060, 1043 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 97 %, 76
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 9263 MiB, 24564 MiB, 99 %, 75
0, NVIDIA GeForce RTX 3060, 1039 MiB, 12288 MiB, 14 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 97 %, 76
0, NVIDIA GeForce RTX 3060, 1039 MiB, 12288 MiB, 9 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1039 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 10893 MiB, 24564 MiB, 99 %, 75
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 14 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1044 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1043 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1043 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1047 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1048 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1041 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 13173 MiB, 24564 MiB, 100 %, 80
