0, NVIDIA GeForce RTX 3060, 1724 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 6551 MiB, 24564 MiB, 0 %, 46
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 6551 MiB, 24564 MiB, 6 %, 46
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 6751 MiB, 24564 MiB, 0 %, 45
0, NVIDIA GeForce RTX 3060, 1724 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 100 %, 61
0, NVIDIA GeForce RTX 3060, 1728 MiB, 12288 MiB, 21 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 100 %, 64
0, NVIDIA GeForce RTX 3060, 1732 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1733 MiB, 12288 MiB, 22 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1727 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 99 %, 66
0, NVIDIA GeForce RTX 3060, 1718 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 21 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1717 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 1 %, 55
0, NVIDIA GeForce RTX 3060, 1722 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 7 %, 52
0, NVIDIA GeForce RTX 3060, 1721 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 7 %, 50
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 20 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 8 %, 50
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 7 %, 49
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 11 %, 49
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 8 %, 49
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 6 %, 48
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 27 %, 48
0, NVIDIA GeForce RTX 3060, 1725 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 11127 MiB, 24564 MiB, 16 %, 48
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 11129 MiB, 24564 MiB, 35 %, 47
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 11129 MiB, 24564 MiB, 18 %, 47
0, NVIDIA GeForce RTX 3060, 1724 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 11129 MiB, 24564 MiB, 29 %, 47
0, NVIDIA GeForce RTX 3060, 1724 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 11129 MiB, 24564 MiB, 28 %, 47
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 11129 MiB, 24564 MiB, 13 %, 47
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 11129 MiB, 24564 MiB, 33 %, 47
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 11129 MiB, 24564 MiB, 27 %, 47
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 11133 MiB, 24564 MiB, 25 %, 47
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 14259 MiB, 24564 MiB, 93 %, 60
0, NVIDIA GeForce RTX 3060, 1727 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 12291 MiB, 24564 MiB, 27 %, 55
0, NVIDIA GeForce RTX 3060, 1727 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 17231 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1729 MiB, 12288 MiB, 18 %, 50
