0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 2645 MiB, 24564 MiB, 0 %, 62
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 58
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 58
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 58
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 2683 MiB, 24564 MiB, 0 %, 56
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 58
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 14 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1035 MiB, 12288 MiB, 11 %, 58
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1043 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1037 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1037 MiB, 12288 MiB, 14 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1040 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1033 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 14 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 16 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 99 %, 79
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 18 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 14 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 9 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 99 %, 79
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 9 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 2351 MiB, 24564 MiB, 92 %, 66
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 8463 MiB, 24564 MiB, 84 %, 63
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 97 %, 73
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 14 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 98 %, 76
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 11057 MiB, 24564 MiB, 60 %, 76
0, NVIDIA GeForce RTX 3060, 1032 MiB, 12288 MiB, 11 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 99 %, 75
0, NVIDIA GeForce RTX 3060, 1032 MiB, 12288 MiB, 9 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 96 %, 77
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 42 %, 67
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 96 %, 74
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 98 %, 75
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 92 %, 65
0, NVIDIA GeForce RTX 3060, 1034 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6985 MiB, 24564 MiB, 2 %, 62
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 8705 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1034 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 10785 MiB, 24564 MiB, 100 %, 78
