0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 13 %, 44
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 52
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 52
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 98 %, 52
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1014 MiB, 12288 MiB, 2 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 2 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 6 %, 44
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 7 %, 44
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 99 %, 69
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 3 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 2 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 2 %, 47
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 91 %, 68
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 2 %, 46
