0, NVIDIA GeForce RTX 3060, 1034 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 3 %, 60
0, NVIDIA GeForce RTX 3060, 1036 MiB, 12288 MiB, 12 %, 55
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 57
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6525 MiB, 24564 MiB, 100 %, 58
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1029 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1037 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1037 MiB, 12288 MiB, 11 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 13 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 99 %, 77
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 13 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 11 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 12 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 15 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1029 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 56
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 9 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 56
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 13 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1037 MiB, 12288 MiB, 12 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1033 MiB, 12288 MiB, 9 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1033 MiB, 12288 MiB, 10 %, 56
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 56
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 55
1, NVIDIA GeForce RTX 4090, 3213 MiB, 24564 MiB, 91 %, 64
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 11 %, 55
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 74 %, 66
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 11 %, 56
1, NVIDIA GeForce RTX 4090, 12261 MiB, 24564 MiB, 97 %, 75
