0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 14 %, 46
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 55
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 54
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 14 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 11 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 11 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 98 %, 71
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 98 %, 72
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 11893 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 11973 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 11 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 46
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 11 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1029 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 93 %, 66
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 14 %, 47
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 61
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1010 MiB, 12288 MiB, 13 %, 47
