0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 56
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 55
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 13 %, 48
1, NVIDIA GeForce RTX 4090, 8691 MiB, 24564 MiB, 100 %, 54
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 13 %, 47
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 15 %, 48
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 11 %, 47
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1013 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 10525 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 9 %, 48
1, NVIDIA GeForce RTX 4090, 11893 MiB, 24564 MiB, 98 %, 72
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 13 %, 47
1, NVIDIA GeForce RTX 4090, 11893 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 47
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 14 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 11 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1032 MiB, 12288 MiB, 14 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1035 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1029 MiB, 12288 MiB, 9 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 9 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 9 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 62
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 60
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 58
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 57
