0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 56
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 11 %, 48
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 56
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 8993 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 8993 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 8993 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 8993 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1011 MiB, 12288 MiB, 10 %, 48
1, NVIDIA GeForce RTX 4090, 8993 MiB, 24564 MiB, 99 %, 75
0, NVIDIA GeForce RTX 3060, 1011 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 9017 MiB, 24564 MiB, 98 %, 72
0, NVIDIA GeForce RTX 3060, 1012 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 11897 MiB, 24564 MiB, 93 %, 75
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1011 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 10 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 12097 MiB, 24564 MiB, 100 %, 77
