0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 9 %, 43
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 12 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 98 %, 48
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 11 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 63
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 12 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1012 MiB, 12288 MiB, 11 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 13 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 13 %, 43
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 75 %, 62
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 99 %, 66
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 11893 MiB, 24564 MiB, 30 %, 60
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 14 %, 43
1, NVIDIA GeForce RTX 4090, 11973 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 12 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1006 MiB, 12288 MiB, 13 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 9 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 11 %, 44
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 13 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1006 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1007 MiB, 12288 MiB, 14 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1007 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 12173 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 57
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 56
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 43
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 53
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 53
