0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 54
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 51
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 54
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 54
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 19 %, 54
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 18 %, 54
1, NVIDIA GeForce RTX 4090, 6280 MiB, 24564 MiB, 95 %, 61
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 15 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 19 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1553 MiB, 12288 MiB, 14 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1553 MiB, 12288 MiB, 12 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 13 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1541 MiB, 12288 MiB, 11 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1541 MiB, 12288 MiB, 12 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 12 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 13 %, 54
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 16 %, 54
