0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 12586 MiB, 24564 MiB, 34 %, 43
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 17 %, 51
1, NVIDIA GeForce RTX 4090, 12846 MiB, 24564 MiB, 27 %, 43
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 13066 MiB, 24564 MiB, 42 %, 43
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 14 %, 51
1, NVIDIA GeForce RTX 4090, 13326 MiB, 24564 MiB, 43 %, 43
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 13526 MiB, 24564 MiB, 11 %, 43
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 13766 MiB, 24564 MiB, 42 %, 43
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 14006 MiB, 24564 MiB, 31 %, 43
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 14226 MiB, 24564 MiB, 5 %, 43
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 14466 MiB, 24564 MiB, 42 %, 43
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 14606 MiB, 24564 MiB, 21 %, 43
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 14728 MiB, 24564 MiB, 35 %, 43
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 14948 MiB, 24564 MiB, 23 %, 43
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 15148 MiB, 24564 MiB, 28 %, 43
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 15288 MiB, 24564 MiB, 27 %, 43
0, NVIDIA GeForce RTX 3060, 1540 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 15428 MiB, 24564 MiB, 21 %, 42
0, NVIDIA GeForce RTX 3060, 1540 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 15694 MiB, 24564 MiB, 46 %, 43
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 15800 MiB, 24564 MiB, 28 %, 43
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 16400 MiB, 24564 MiB, 7 %, 42
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 16400 MiB, 24564 MiB, 0 %, 45
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 15892 MiB, 24564 MiB, 0 %, 45
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 15892 MiB, 24564 MiB, 0 %, 45
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 15892 MiB, 24564 MiB, 0 %, 43
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 15892 MiB, 24564 MiB, 0 %, 43
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 2390 MiB, 24564 MiB, 0 %, 43
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 6238 MiB, 24564 MiB, 97 %, 55
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 61
