0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 23 %, 43
1, NVIDIA GeForce RTX 4090, 8047 MiB, 24564 MiB, 100 %, 58
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 28 %, 43
1, NVIDIA GeForce RTX 4090, 8049 MiB, 24564 MiB, 100 %, 58
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 24 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 60
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 21 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 58
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 19 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 58
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 19 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 59
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 21 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 59
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 21 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 62
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 33 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 61
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 21 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 61
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 21 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 63
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 15 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 64
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 21 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 61
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 18 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 63
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 18 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 64
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 18 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 18 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 17 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 20 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 25 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1541 MiB, 12288 MiB, 30 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 22 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 15 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 16 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 16 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 19 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 11 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 15 %, 43
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 13 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1531 MiB, 12288 MiB, 11 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1531 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1531 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1531 MiB, 12288 MiB, 14 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 13 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 13 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 13 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 13 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 21 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 99 %, 73
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 14 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 14 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 11 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 9 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 18 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1555 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1547 MiB, 12288 MiB, 20 %, 44
1, NVIDIA GeForce RTX 4090, 8311 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 1909 MiB, 24564 MiB, 2 %, 59
0, NVIDIA GeForce RTX 3060, 1562 MiB, 12288 MiB, 20 %, 44
1, NVIDIA GeForce RTX 4090, 4329 MiB, 24564 MiB, 76 %, 58
0, NVIDIA GeForce RTX 3060, 1564 MiB, 12288 MiB, 18 %, 44
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 98 %, 67
0, NVIDIA GeForce RTX 3060, 1562 MiB, 12288 MiB, 17 %, 44
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1561 MiB, 12288 MiB, 21 %, 44
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 99 %, 70
0, NVIDIA GeForce RTX 3060, 1561 MiB, 12288 MiB, 18 %, 44
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 77 %, 67
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 18 %, 45
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 97 %, 69
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 19 %, 45
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 99 %, 73
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 19 %, 44
1, NVIDIA GeForce RTX 4090, 12015 MiB, 24564 MiB, 7 %, 61
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 18 %, 45
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 99 %, 70
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 20 %, 45
1, NVIDIA GeForce RTX 4090, 13199 MiB, 24564 MiB, 98 %, 71
0, NVIDIA GeForce RTX 3060, 1531 MiB, 12288 MiB, 20 %, 45
