0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 0 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 1 %, 61
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 60
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 60
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6100 MiB, 24564 MiB, 94 %, 61
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 20 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 20 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 20 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6140 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 1326 MiB, 24564 MiB, 47 %, 68
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 3908 MiB, 24564 MiB, 89 %, 65
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 96 %, 75
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 99 %, 78
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 7256 MiB, 24564 MiB, 98 %, 78
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 97 %, 76
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 21 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 98 %, 77
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6676 MiB, 24564 MiB, 52 %, 78
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 8136 MiB, 24564 MiB, 97 %, 78
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 59
