0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 61
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1544 MiB, 12288 MiB, 19 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1544 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 58
0, NVIDIA GeForce RTX 3060, 1544 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6280 MiB, 24564 MiB, 88 %, 68
0, NVIDIA GeForce RTX 3060, 1548 MiB, 12288 MiB, 19 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1541 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 20 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 21 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 12 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 99 %, 82
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 99 %, 83
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 2846 MiB, 24564 MiB, 85 %, 67
0, NVIDIA GeForce RTX 3060, 1565 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 78 %, 69
0, NVIDIA GeForce RTX 3060, 1567 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 98 %, 76
0, NVIDIA GeForce RTX 3060, 1563 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 97 %, 78
0, NVIDIA GeForce RTX 3060, 1559 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 95 %, 76
0, NVIDIA GeForce RTX 3060, 1559 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 99 %, 77
0, NVIDIA GeForce RTX 3060, 1553 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 98 %, 79
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 23 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 96 %, 75
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 95 %, 76
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 21 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 98 %, 77
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 90 %, 64
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 8380 MiB, 24564 MiB, 98 %, 75
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 20 %, 59
1, NVIDIA GeForce RTX 4090, 9960 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 19 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1528 MiB, 12288 MiB, 19 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 20 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 21 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 20 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 19 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 84
0, NVIDIA GeForce RTX 3060, 1555 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1555 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 85
0, NVIDIA GeForce RTX 3060, 1555 MiB, 12288 MiB, 14 %, 59
