0, NVIDIA GeForce RTX 3060, 1551 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 61
0, NVIDIA GeForce RTX 3060, 1549 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 60
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 1438 MiB, 24564 MiB, 0 %, 60
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 2438 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6280 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1557 MiB, 12288 MiB, 23 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1550 MiB, 12288 MiB, 22 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 19 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 16 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 17 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1541 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 15 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 14 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 13 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 18 %, 59
1, NVIDIA GeForce RTX 4090, 6340 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 59
